tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
1.12579,-0.661693,0.189221,-0.51871,-2.93345,-1.10058,0.440993,1.5287,4.03993,6.64424,4.49994,4.70436,0,0,0,0,0,0,0,0,0,0,0,0,0.0432097,-0.0491617,0.07866,-0.0729818,0.862865,0.826671,0.972059,0.971347,-1.55445,-1.55929,-1.56678,-1.57931,0.0880717,-0.0758024,0.0862801,-0.0937073,0.744998,0.781923,0.989421,1.03219,-1.39316,-1.29323,-1.38752,-1.39157,-0.00847869,-0.00864786,0.00256448,0.00114671,-0.0264335,-0.0362769,-0.0139099,-0.0152188,-0.0157361,0.0146241,-0.0366525,-0.0218015,
1.38383,-0.79942,-0.367044,-0.669681,-2.4358,-1.14647,0.875288,1.10857,3.23144,4.9626,4.13514,3.854,0,0,0,0,0,0,0,0,0,0,0,0,0.0430509,-0.0493232,0.0787088,-0.0729697,0.862143,0.825747,0.971694,0.970947,-1.55476,-1.55901,-1.56769,-1.57994,0.0983623,-0.0813421,0.0640414,-0.0997618,0.764309,0.779417,1.00651,1.01508,-1.4256,-1.36044,-1.40273,-1.42614,-0.00208994,-0.00210709,0.000717499,-0.000242274,-0.020093,-0.0235696,-0.00972032,-0.0105694,-0.00475598,0.00368806,-0.0222783,-0.018435,
1.77431,-0.357378,-0.721678,-1.42696,-2.51353,-1.44576,0.961069,0.652504,3.78842,4.93661,4.62458,4.38923,0,0,0,0,0,0,0,0,0,0,0,0,0.0411519,-0.0514233,0.091791,-0.0609416,0.864418,0.829132,0.976591,0.989063,-1.56156,-1.54911,-1.57923,-1.59428,0.109069,-0.068874,0.0653895,-0.115664,0.763673,0.772126,1.01345,1.01915,-1.4129,-1.34925,-1.39509,-1.42147,-0.152771,-0.15778,0.12328,0.117791,-0.0101812,0.0412059,-0.0790375,0.199392,-0.14362,0.119716,-0.0424453,-0.13791,
1.71675,-0.232542,-0.703055,-1.09595,-2.55557,-1.39415,1.0136,0.508966,4.06454,5.03828,4.68146,4.57955,0,0,0,0,0,0,0,0,0,0,0,0,0.0357927,-0.0569852,0.0928208,-0.0600406,0.864667,0.830826,0.974173,0.993351,-1.56723,-1.54911,-1.58064,-1.59826,0.0995197,-0.0714732,0.0639344,-0.104795,0.763452,0.777016,1.01319,1.01659,-1.4111,-1.35036,-1.39556,-1.41895,-0.24715,-0.259318,-0.0382105,-0.0458122,0.0503931,0.097792,-0.0764908,0.143894,-0.322527,-0.139376,-0.10868,-0.19366,
1.68942,-0.107972,-0.614673,-1.00378,-2.54111,-1.41837,1.0367,0.561704,4.48933,5.31561,4.82452,4.73577,0,0,0,0,0,0,0,0,0,0,0,0,0.0312391,-0.0618556,0.0916595,-0.0614021,0.86655,0.83313,0.973107,0.995465,-1.57581,-1.55414,-1.58404,-1.6024,0.0952149,-0.0701282,0.0658832,-0.102962,0.767334,0.778682,1.01392,1.01906,-1.40587,-1.34789,-1.39512,-1.41678,-0.180056,-0.197685,-0.0594699,-0.0704102,0.121441,0.114337,-0.0329779,0.0562816,-0.48183,-0.318583,-0.202848,-0.190777,
1.51605,-0.211637,-0.438991,-0.92705,-2.69305,-1.38292,0.988644,0.575035,4.8833,5.68192,4.92381,4.86997,0,0,0,0,0,0,0,0,0,0,0,0,0.0287436,-0.0647333,0.0907638,-0.0625406,0.869533,0.83533,0.972917,0.995698,-1.58652,-1.56153,-1.58888,-1.60586,0.0878978,-0.0750865,0.0726124,-0.100479,0.765238,0.78209,1.01276,1.01823,-1.40261,-1.34228,-1.39742,-1.41418,-0.0743822,-0.0943882,-0.0295867,-0.0427975,0.171347,0.103812,0.0148658,-0.023525,-0.571138,-0.401112,-0.274527,-0.155865,
1.40172,-0.0823864,-0.620301,-0.590645,-2.82859,-1.27894,0.908108,0.665797,5.35454,5.96234,5.27212,5.02905,0,0,0,0,0,0,0,0,0,0,0,0,0.0279917,-0.0658852,0.0902703,-0.0633065,0.873187,0.837167,0.973607,0.994584,-1.59814,-1.56976,-1.59475,-1.60853,0.0837543,-0.069878,0.0649224,-0.0877381,0.763781,0.787605,1.01089,1.01962,-1.39548,-1.33946,-1.38992,-1.40963,-0.0153172,-0.0348667,-0.026789,-0.040292,0.186866,0.0797736,0.0477932,-0.079811,-0.576195,-0.409776,-0.302324,-0.113077,
1.22608,-0.0710001,-0.52773,-0.588746,-2.89515,-1.27514,0.917163,0.7542,5.76137,6.15483,5.39171,5.05047,0,0,0,0,0,0,0,0,0,0,0,0,0.0281008,-0.0661534,0.0896675,-0.0641567,0.876921,0.838382,0.974655,0.992275,-1.60958,-1.57782,-1.60084,-1.61014,0.0776003,-0.0688608,0.0679974,-0.0884609,0.764382,0.788051,1.01224,1.01966,-1.38923,-1.33859,-1.39051,-1.40886,0.022817,0.00663126,-0.0280446,-0.037719,0.163332,0.0337499,0.044686,-0.138996,-0.505176,-0.347908,-0.266958,-0.0369678,
1.21976,-0.118651,-0.449745,-0.542826,-3.01555,-1.19037,0.898371,0.765719,5.83425,6.26159,5.52024,5.08681,0,0,0,0,0,0,0,0,0,0,0,0,0.0285138,-0.066009,0.0887981,-0.0651735,0.879734,0.838592,0.975478,0.989189,-1.61834,-1.58373,-1.60554,-1.6102,0.0775192,-0.0707546,0.0695377,-0.0882666,0.761492,0.790802,1.01224,1.01663,-1.39232,-1.3381,-1.38885,-1.40627,0.0107483,2.11506e-05,-0.0635278,-0.0690016,0.118991,-0.00876376,0.04154,-0.159151,-0.367757,-0.241516,-0.206021,0.0226849,
1.21372,-0.143208,-0.461385,-0.456965,-2.89247,-1.08757,0.866672,0.860111,5.89231,6.22718,5.61357,5.06425,0,0,0,0,0,0,0,0,0,0,0,0,0.0286109,-0.0660657,0.0871728,-0.0668616,0.881658,0.837903,0.976283,0.985721,-1.62431,-1.58736,-1.60908,-1.60903,0.0772092,-0.071829,0.0670242,-0.0868406,0.767268,0.793279,1.01157,1.01666,-1.39283,-1.34045,-1.38715,-1.40469,0.00247474,-0.00174945,-0.0846562,-0.0850183,0.0654629,-0.0560616,0.0308068,-0.173485,-0.210883,-0.109066,-0.130761,0.0885202,
